,model_name,units,batch_size,learning_rate,dense_units,dropout_rate,run,best_val_loss,best_epoch,final_train_loss,epochs,time
0,baseline_lstm,32,4,0.005,,,1,0.06372702121734619,11,0.016710655763745308,21,4.438942909240723
1,baseline_lstm,64,4,0.005,,,1,0.06249737739562988,14,0.01795077882707119,24,4.492943048477173
2,baseline_lstm,128,4,0.005,,,1,0.05673421546816826,38,0.010837815701961517,48,9.101657629013062
3,baseline_lstm,32,4,0.01,,,1,0.05342748388648033,16,0.014812401495873928,26,4.7141783237457275
4,baseline_lstm,64,4,0.01,,,1,0.05573089048266411,8,0.0216232780367136,18,3.6961498260498047
5,baseline_lstm,128,4,0.01,,,1,0.039563581347465515,31,0.00834599044173956,41,9.008326292037964
6,baseline_lstm,32,8,0.005,,,1,0.05635988339781761,24,0.014503035694360733,34,5.443289518356323
7,baseline_lstm,64,8,0.005,,,1,0.05214843526482582,63,0.00948312971740961,73,10.219817399978638
8,baseline_lstm,128,8,0.005,,,1,0.07503972947597504,9,0.017612401396036148,19,3.6880452632904053
9,baseline_lstm,32,8,0.01,,,1,0.06601022183895111,12,0.014864034950733185,22,3.699150800704956
10,baseline_lstm,64,8,0.01,,,1,0.06682396680116653,9,0.016388123854994774,19,3.4531733989715576
11,baseline_lstm,128,8,0.01,,,1,0.05474945902824402,29,0.010034865699708462,39,6.143742322921753
12,baseline_lstm,32,16,0.005,,,1,0.06213408708572388,45,0.012090661562979221,55,7.001802206039429
13,baseline_lstm,64,16,0.005,,,1,0.0513436384499073,108,0.01124639343470335,118,14.008939981460571
14,baseline_lstm,128,16,0.005,,,1,0.04437924548983574,59,0.014057914726436138,69,8.85774850845337
15,baseline_lstm,32,16,0.01,,,1,0.05161931738257408,25,0.013568349182605743,35,4.9254443645477295
16,baseline_lstm,64,16,0.01,,,1,0.05510575696825981,27,0.013723522424697876,37,5.060098171234131
17,baseline_lstm,128,16,0.01,,,1,0.05172339081764221,15,0.022301988676190376,25,3.979712963104248
18,baseline_lstm,32,32,0.005,,,1,0.1935722380876541,30,0.031086720526218414,40,4.9971396923065186
19,baseline_lstm,64,32,0.005,,,1,0.12928064167499542,20,0.023480571806430817,30,3.9788031578063965
20,baseline_lstm,128,32,0.005,,,1,0.11173409968614578,16,0.02099032513797283,26,4.074498653411865
21,baseline_lstm,32,32,0.01,,,1,0.06484632939100266,44,0.013499404303729534,54,6.408140659332275
22,baseline_lstm,64,32,0.01,,,1,0.08429517596960068,43,0.016609633341431618,53,6.2110207080841064
23,baseline_lstm,128,32,0.01,,,1,0.05287996307015419,36,0.016448823735117912,46,5.7433953285217285
24,stacked_lstm,32,4,0.005,,,1,0.06476061791181564,9,0.015381519682705402,19,4.792078256607056
25,stacked_lstm,64,4,0.005,,,1,0.05779275298118591,18,0.013930276036262512,28,6.818109750747681
26,stacked_lstm,128,4,0.005,,,1,0.04584848880767822,11,0.012833279557526112,21,6.644468784332275
27,stacked_lstm,32,4,0.01,,,1,0.05298636853694916,15,0.012699156068265438,25,5.962834119796753
28,stacked_lstm,64,4,0.01,,,1,0.0480288565158844,15,0.012793943285942078,25,6.605433225631714
